GraphType,|V|,|E| (mean),Density,EmpTime(s),±StdTime,EmpComp,±StdComp,TheoreticalTerm(V^2),Time/V^2,Comp/V^2
Sparse,2,2,1.0000,0.000004,0.000002,5,0.00,4.0,0.000001073,1.250000
Sparse,3,6,1.0000,0.000004,0.000001,12,0.00,9.0,0.000000442,1.333333
Sparse,4,12,1.0000,0.000005,0.000001,22,0.00,16.0,0.000000283,1.375000
Sparse,5,19,0.9500,0.000006,0.000000,34,0.00,25.0,0.000000251,1.360000
Sparse,6,17,0.5667,0.000007,0.000001,44,0.00,36.0,0.000000201,1.222222
Sparse,7,18,0.4286,0.000009,0.000001,56,0.00,49.0,0.000000175,1.142857
Sparse,8,26,0.4643,0.000011,0.000001,77,0.00,64.0,0.000000171,1.203125
Sparse,9,23,0.3194,0.000013,0.000002,94,0.00,81.0,0.000000157,1.160494
Sparse,10,28,0.3111,0.000014,0.000002,116,0.00,100.0,0.000000143,1.160000
Sparse,11,32,0.2909,0.000017,0.000003,140,0.00,121.0,0.000000141,1.157025
Sparse,12,37,0.2803,0.000019,0.000003,163,0.00,144.0,0.000000129,1.131944
Sparse,13,41,0.2628,0.000022,0.000003,192,0.00,169.0,0.000000130,1.136095
Sparse,14,45,0.2473,0.000024,0.000003,218,0.00,196.0,0.000000121,1.112245
Sparse,15,50,0.2381,0.000026,0.000004,252,0.00,225.0,0.000000116,1.120000
Sparse,16,55,0.2292,0.000030,0.000005,281,0.00,256.0,0.000000116,1.097656
Sparse,17,59,0.2169,0.000035,0.000004,322,0.00,289.0,0.000000122,1.114187
Sparse,18,65,0.2124,0.000040,0.000005,357,0.00,324.0,0.000000123,1.101852
Sparse,19,70,0.2047,0.000040,0.000005,397,0.00,361.0,0.000000112,1.099723
Sparse,20,66,0.1737,0.000044,0.000006,439,0.00,400.0,0.000000110,1.097500
Sparse,21,63,0.1500,0.000042,0.000004,426,0.00,441.0,0.000000096,0.965986
Sparse,22,66,0.1429,0.000050,0.000006,518,0.00,484.0,0.000000103,1.070248
Sparse,23,71,0.1403,0.000054,0.000006,564,0.00,529.0,0.000000102,1.066163
Sparse,24,77,0.1395,0.000056,0.000006,591,0.00,576.0,0.000000098,1.026042
Sparse,25,83,0.1383,0.000063,0.000006,671,0.00,625.0,0.000000101,1.073600
Sparse,26,83,0.1277,0.000067,0.000007,714,0.00,676.0,0.000000100,1.056213
Sparse,27,84,0.1197,0.000072,0.000007,774,0.00,729.0,0.000000098,1.061728
Sparse,28,80,0.1058,0.000076,0.000008,828,0.00,784.0,0.000000098,1.056122
Sparse,29,88,0.1084,0.000073,0.000008,765,0.00,841.0,0.000000086,0.909631
Sparse,30,88,0.1011,0.000089,0.000009,941,0.00,900.0,0.000000099,1.045556
Sparse,31,87,0.0935,0.000102,0.000025,1007,0.00,961.0,0.000000106,1.047867
