GraphType,|V|,|E| (mean),Density,EmpTime(s),±StdTime,EmpComp,±StdComp,TheoreticalTerm((V+E)logV),Time/((V+E)logV),Comp/((V+E)logV)
Sparse,2,2,1.0000,0.000005,0.000002,5,0.00,4.0,0.000001152,1.250000
Sparse,3,6,1.0000,0.000003,0.000001,12,0.00,14.3,0.000000240,0.841240
Sparse,4,12,1.0000,0.000003,0.000001,22,0.47,32.0,0.000000109,0.697917
Sparse,5,15,0.7500,0.000005,0.000000,29,1.89,46.4,0.000000101,0.638837
Sparse,6,18,0.6000,0.000006,0.000000,35,1.70,62.0,0.000000090,0.569533
Sparse,7,21,0.5000,0.000005,0.000001,39,4.19,78.6,0.000000070,0.504627
Sparse,8,24,0.4286,0.000006,0.000001,49,2.87,96.0,0.000000064,0.513889
Sparse,9,27,0.3750,0.000008,0.000000,61,7.35,114.1,0.000000068,0.534538
Sparse,10,30,0.3333,0.000008,0.000000,68,3.30,132.9,0.000000062,0.516768
Sparse,11,33,0.3000,0.000009,0.000001,77,3.27,152.2,0.000000060,0.505863
Sparse,12,36,0.2727,0.000011,0.000000,88,6.48,172.1,0.000000062,0.511395
Sparse,13,39,0.2500,0.000010,0.000000,85,1.25,192.4,0.000000052,0.445200
Sparse,14,42,0.2308,0.000011,0.000000,102,6.24,213.2,0.000000051,0.481524
Sparse,15,45,0.2143,0.000012,0.000000,107,15.52,234.4,0.000000053,0.457880
Sparse,16,48,0.2000,0.000012,0.000000,108,1.70,256.0,0.000000045,0.424479
Sparse,17,51,0.1875,0.000013,0.000000,111,4.03,277.9,0.000000047,0.401755
Sparse,18,54,0.1765,0.000014,0.000002,114,12.47,300.2,0.000000048,0.380813
Sparse,19,57,0.1667,0.000017,0.000002,134,9.63,322.8,0.000000052,0.415063
Sparse,20,60,0.1579,0.000016,0.000000,141,1.70,345.8,0.000000045,0.409732
Sparse,21,63,0.1500,0.000017,0.000001,166,8.22,369.0,0.000000046,0.451727
Sparse,22,66,0.1429,0.000017,0.000000,169,8.73,392.4,0.000000044,0.432349
Sparse,23,69,0.1364,0.000018,0.000001,174,6.94,416.2,0.000000043,0.419703
Sparse,24,72,0.1304,0.000020,0.000001,194,14.82,440.2,0.000000045,0.441510
Sparse,25,75,0.1250,0.000022,0.000004,197,5.44,464.4,0.000000047,0.424934
Sparse,26,78,0.1200,0.000024,0.000003,192,10.87,488.8,0.000000050,0.394126
Sparse,27,81,0.1154,0.000024,0.000002,216,13.47,513.5,0.000000046,0.421918
Sparse,28,84,0.1111,0.000023,0.000002,209,5.44,538.4,0.000000042,0.388789
Sparse,29,87,0.1071,0.000024,0.000001,235,6.48,563.5,0.000000042,0.417017
Sparse,30,90,0.1034,0.000025,0.000001,247,11.67,588.8,0.000000042,0.420044
Sparse,31,93,0.1000,0.000025,0.000001,253,4.71,614.3,0.000000041,0.412922
Sparse,32,96,0.0968,0.000025,0.000001,256,2.83,640.0,0.000000039,0.400000
Sparse,33,99,0.0938,0.000027,0.000001,267,13.49,665.9,0.000000040,0.400985
Sparse,34,102,0.0909,0.000027,0.000001,286,14.27,691.9,0.000000039,0.413839
Sparse,35,105,0.0882,0.000029,0.000002,304,26.66,718.1,0.000000040,0.423804
Sparse,36,108,0.0857,0.000031,0.000003,314,14.72,744.5,0.000000041,0.421777
Sparse,37,111,0.0833,0.000028,0.000001,298,8.29,771.0,0.000000036,0.386511
Sparse,38,114,0.0811,0.000031,0.000001,337,22.17,797.7,0.000000039,0.423308
Sparse,39,117,0.0789,0.000031,0.000002,333,16.31,824.5,0.000000038,0.403870
Sparse,40,120,0.0769,0.000035,0.000003,334,1.70,851.5,0.000000042,0.392637
Sparse,41,123,0.0750,0.000033,0.000003,330,13.91,878.6,0.000000038,0.376340
Sparse,42,126,0.0732,0.000036,0.000001,359,23.61,905.9,0.000000039,0.396655
Sparse,43,129,0.0714,0.000036,0.000002,382,12.19,933.3,0.000000039,0.409293
Sparse,44,132,0.0698,0.000038,0.000002,395,29.78,960.9,0.000000039,0.411784
Sparse,45,135,0.0682,0.000036,0.000001,391,15.20,988.5,0.000000037,0.396210
Sparse,46,138,0.0667,0.000036,0.000001,391,28.19,1016.3,0.000000036,0.385371
Sparse,47,141,0.0652,0.000038,0.000001,417,22.02,1044.3,0.000000037,0.399325
Sparse,48,144,0.0638,0.000039,0.000000,440,7.87,1072.3,0.000000037,0.410328
Sparse,49,147,0.0625,0.000040,0.000001,434,14.01,1100.5,0.000000036,0.394675
Sparse,50,150,0.0612,0.000038,0.000001,412,9.57,1128.8,0.000000034,0.365294
Sparse,51,153,0.0600,0.000041,0.000000,457,4.50,1157.2,0.000000036,0.395215
Sparse,52,156,0.0588,0.000048,0.000009,452,15.58,1185.7,0.000000040,0.381493
Sparse,53,159,0.0577,0.000044,0.000001,493,10.61,1214.3,0.000000036,0.405989
Sparse,54,162,0.0566,0.000045,0.000001,494,8.26,1243.1,0.000000036,0.397944
Sparse,55,165,0.0556,0.000045,0.000002,498,23.89,1271.9,0.000000035,0.392065
Sparse,56,168,0.0545,0.000047,0.000003,513,26.50,1300.8,0.000000036,0.394358
Sparse,57,171,0.0536,0.000050,0.000002,543,17.20,1329.9,0.000000038,0.408302
Sparse,58,174,0.0526,0.000048,0.000002,520,16.36,1359.1,0.000000035,0.383110
Sparse,59,177,0.0517,0.000056,0.000003,572,12.03,1388.3,0.000000040,0.412014
Sparse,60,180,0.0508,0.000052,0.000003,560,16.39,1417.7,0.000000037,0.395019
Sparse,61,183,0.0500,0.000050,0.000000,555,8.52,1447.1,0.000000034,0.383526
Sparse,62,186,0.0492,0.000050,0.000000,566,1.70,1476.6,0.000000034,0.383528
Sparse,63,189,0.0484,0.000053,0.000001,579,21.65,1506.3,0.000000035,0.384392
Sparse,64,192,0.0476,0.000055,0.000001,614,11.15,1536.0,0.000000036,0.400174
Sparse,65,195,0.0469,0.000055,0.000002,607,26.13,1565.8,0.000000035,0.387870
Sparse,66,198,0.0462,0.000055,0.000003,619,35.59,1595.7,0.000000035,0.388122
Sparse,67,201,0.0455,0.000055,0.000001,637,25.38,1625.7,0.000000034,0.392033
Sparse,68,204,0.0448,0.000056,0.000002,652,22.95,1655.8,0.000000034,0.394172
Sparse,69,207,0.0441,0.000055,0.000001,634,14.73,1686.0,0.000000033,0.376246
Sparse,70,210,0.0435,0.000058,0.000001,662,11.79,1716.2,0.000000034,0.385930
Sparse,71,213,0.0429,0.000066,0.000011,675,14.70,1746.5,0.000000038,0.386481
Sparse,72,216,0.0423,0.000058,0.000002,673,22.45,1776.9,0.000000033,0.378741
Sparse,73,219,0.0417,0.000060,0.000002,676,21.76,1807.4,0.000000033,0.374381
Sparse,74,222,0.0411,0.000063,0.000004,727,18.01,1838.0,0.000000035,0.395720
Sparse,75,225,0.0405,0.000080,0.000027,711,22.22,1868.6,0.000000043,0.380846
Sparse,76,228,0.0400,0.000062,0.000004,708,23.47,1899.4,0.000000033,0.372931
Sparse,77,231,0.0395,0.000065,0.000001,739,24.42,1930.2,0.000000034,0.383213
Sparse,78,234,0.0390,0.000065,0.000002,748,23.15,1961.0,0.000000033,0.381429
Sparse,79,237,0.0385,0.000067,0.000003,749,8.22,1992.0,0.000000034,0.376172
Sparse,80,240,0.0380,0.000065,0.000002,747,22.05,2023.0,0.000000032,0.369250
Sparse,81,243,0.0375,0.000066,0.000003,762,26.24,2054.1,0.000000032,0.370963
Sparse,82,246,0.0370,0.000072,0.000007,762,18.70,2085.3,0.000000035,0.365739
Sparse,83,249,0.0366,0.000071,0.000004,836,57.35,2116.5,0.000000033,0.394989
Sparse,84,252,0.0361,0.000073,0.000004,856,14.14,2147.8,0.000000034,0.398544
Sparse,85,255,0.0357,0.000080,0.000007,829,9.90,2179.2,0.000000037,0.380416
Sparse,86,258,0.0353,0.000076,0.000002,837,32.69,2210.6,0.000000034,0.378624
Sparse,87,261,0.0349,0.000073,0.000002,853,37.92,2242.1,0.000000032,0.380588
Sparse,88,264,0.0345,0.000075,0.000001,900,15.76,2273.7,0.000000033,0.396120
Sparse,89,267,0.0341,0.000075,0.000001,886,25.00,2305.4,0.000000032,0.384466
Sparse,90,270,0.0337,0.000075,0.000002,898,24.69,2337.1,0.000000032,0.384528
Sparse,91,273,0.0333,0.000089,0.000019,909,3.09,2368.8,0.000000038,0.383873
Sparse,92,276,0.0330,0.000080,0.000007,907,39.75,2400.7,0.000000033,0.378089
Sparse,93,279,0.0326,0.000111,0.000038,938,27.58,2432.6,0.000000046,0.385601
Sparse,94,282,0.0323,0.000082,0.000004,929,39.67,2464.5,0.000000033,0.377084
Sparse,95,285,0.0319,0.000085,0.000003,981,29.53,2496.5,0.000000034,0.392943
Sparse,96,288,0.0316,0.000080,0.000004,955,49.13,2528.6,0.000000032,0.377939
Sparse,97,291,0.0312,0.000080,0.000002,958,47.42,2560.8,0.000000031,0.374237
Sparse,98,294,0.0309,0.000083,0.000001,1010,20.83,2593.0,0.000000032,0.389515
Sparse,99,297,0.0306,0.000098,0.000023,1006,16.87,2625.2,0.000000038,0.383205
Sparse,100,300,0.0303,0.000104,0.000024,982,33.04,2657.5,0.000000039,0.369765
Sparse,101,303,0.0300,0.000089,0.000002,1026,10.96,2689.9,0.000000033,0.381672
Sparse,102,306,0.0297,0.000088,0.000001,1047,9.63,2722.3,0.000000032,0.384594
Sparse,103,309,0.0294,0.000087,0.000003,1048,37.32,2754.8,0.000000032,0.380422
Sparse,104,312,0.0291,0.000095,0.000007,1079,16.87,2787.4,0.000000034,0.387101
Sparse,105,315,0.0288,0.000089,0.000002,1068,45.09,2820.0,0.000000031,0.378844
Sparse,106,318,0.0286,0.000094,0.000006,1075,17.31,2852.6,0.000000033,0.376961
Sparse,107,321,0.0283,0.000091,0.000002,1082,11.44,2885.3,0.000000031,0.375229
Sparse,108,324,0.0280,0.000090,0.000002,1092,9.20,2918.1,0.000000031,0.374215
Sparse,109,327,0.0278,0.000092,0.000003,1141,36.42,2950.9,0.000000031,0.386771
Sparse,110,330,0.0275,0.000093,0.000003,1122,17.82,2983.8,0.000000031,0.376254
Sparse,111,333,0.0273,0.000096,0.000004,1166,21.79,3016.7,0.000000032,0.386623
Sparse,112,336,0.0270,0.000096,0.000005,1129,16.27,3049.7,0.000000032,0.370201
Sparse,113,339,0.0268,0.000098,0.000004,1197,39.04,3082.7,0.000000032,0.388401
Sparse,114,342,0.0265,0.000096,0.000005,1184,61.30,3115.8,0.000000031,0.380213
Sparse,115,345,0.0263,0.000102,0.000007,1163,29.78,3148.9,0.000000032,0.369544
Sparse,116,348,0.0261,0.000099,0.000002,1227,19.22,3182.1,0.000000031,0.385804
Sparse,117,351,0.0259,0.000100,0.000004,1214,27.65,3215.3,0.000000031,0.377566
Sparse,118,354,0.0256,0.000100,0.000002,1234,18.46,3248.6,0.000000031,0.379855
Sparse,119,357,0.0254,0.000098,0.000001,1223,20.24,3281.9,0.000000030,0.372849
Sparse,120,360,0.0252,0.000107,0.000011,1253,28.99,3315.3,0.000000032,0.378145
Sparse,121,363,0.0250,0.000105,0.000004,1302,47.88,3348.7,0.000000031,0.388804
Sparse,122,366,0.0248,0.000105,0.000002,1286,32.07,3382.2,0.000000031,0.380324
Sparse,123,369,0.0246,0.000104,0.000004,1280,53.39,3415.7,0.000000030,0.374738
Sparse,124,372,0.0244,0.000109,0.000010,1273,13.22,3449.3,0.000000032,0.369256
Sparse,125,375,0.0242,0.000116,0.000011,1341,24.39,3482.9,0.000000033,0.385025
Sparse,126,378,0.0240,0.000108,0.000002,1319,24.91,3516.5,0.000000031,0.375084
Sparse,127,381,0.0238,0.000107,0.000001,1318,22.84,3550.3,0.000000030,0.371429
Sparse,128,384,0.0236,0.000109,0.000003,1353,14.99,3584.0,0.000000030,0.377511
Sparse,129,387,0.0234,0.000123,0.000019,1323,10.62,3617.8,0.000000034,0.365877
Sparse,130,390,0.0233,0.000111,0.000006,1364,32.07,3651.6,0.000000031,0.373532
Sparse,131,393,0.0231,0.000135,0.000033,1386,9.46,3685.5,0.000000037,0.376248
Sparse,132,396,0.0229,0.000112,0.000001,1415,13.02,3719.4,0.000000030,0.380613
Sparse,133,399,0.0227,0.000115,0.000002,1434,38.32,3753.4,0.000000031,0.382141
Sparse,134,402,0.0226,0.000114,0.000002,1406,17.15,3787.4,0.000000030,0.371229
Sparse,135,405,0.0224,0.000117,0.000002,1441,16.66,3821.5,0.000000031,0.377253
Sparse,136,408,0.0222,0.000118,0.000005,1451,22.64,3855.6,0.000000031,0.376338
Sparse,137,411,0.0221,0.000125,0.000010,1484,59.33,3889.7,0.000000032,0.381604
Sparse,138,414,0.0219,0.000117,0.000004,1464,25.59,3923.9,0.000000030,0.373183
Sparse,139,417,0.0217,0.000128,0.000005,1479,36.48,3958.1,0.000000032,0.373661
Sparse,140,420,0.0216,0.000116,0.000002,1453,21.31,3992.4,0.000000029,0.364025
Sparse,141,423,0.0214,0.000123,0.000002,1537,23.55,4026.7,0.000000031,0.381701
Sparse,142,426,0.0213,0.000127,0.000006,1538,13.49,4061.1,0.000000031,0.378719
Sparse,143,429,0.0211,0.000122,0.000006,1535,69.98,4095.4,0.000000030,0.374969
Sparse,144,432,0.0210,0.000126,0.000001,1575,33.11,4129.9,0.000000031,0.381448
Sparse,145,435,0.0208,0.000123,0.000001,1560,10.66,4164.3,0.000000030,0.374769
