GraphType,|V|,|E| (a),Comparisons (a),Time (a),|E| (b),Comparisons (b),Time (b),Speedup A/B
Sparse,20,66,439,0.000049,60,141,0.000023,2.145329
Sparse,40,129,1666,0.000154,120,334,0.000038,4.039666
Sparse,60,175,3693,0.000320,180,560,0.000056,5.737518
Sparse,80,216,6174,0.000627,240,747,0.000077,8.158221
Sparse,100,288,9844,0.000838,300,982,0.000102,8.241406
Sparse,120,349,13740,0.001199,360,1253,0.000123,9.752424
Sparse,140,431,18831,0.002000,420,1453,0.000135,14.867100
Sparse,160,502,24562,0.002048,480,1689,0.000155,13.242035
Sparse,180,587,31258,0.002894,540,1983,0.000182,15.880506
Sparse,200,648,38510,0.003238,600,2275,0.000202,16.010609
Sparse,220,703,44110,0.003728,660,2511,0.000220,16.946171
Sparse,240,762,55327,0.004543,720,2836,0.000253,17.953518
Sparse,260,802,65125,0.005319,780,3007,0.000280,19.015057
Sparse,280,863,72945,0.006014,840,3299,0.000327,18.381346
Sparse,300,921,87471,0.007388,900,3600,0.000336,21.988411
Dense,20,295,544,0.000052,200,408,0.000038,1.366316
Dense,40,1246,2222,0.000191,800,1485,0.000108,1.762289
Dense,60,2856,5009,0.000409,1800,3203,0.000225,1.817219
Dense,80,5050,8941,0.000721,3200,5530,0.000368,1.957057
Dense,100,7936,13977,0.001122,5000,8504,0.000592,1.894659
Dense,120,11437,20124,0.001592,7200,11998,0.000807,1.972137
Dense,140,15599,27438,0.002153,9800,16280,0.001102,1.954480
Dense,160,20422,35804,0.002811,12800,21019,0.001401,2.006979
Dense,180,25881,45265,0.003537,16200,26230,0.001720,2.056084
Dense,200,31886,55935,0.004338,20000,32151,0.002157,2.010941
Dense,220,38590,67697,0.005197,24200,38376,0.002553,2.035645
Dense,240,45927,80566,0.006203,28800,45602,0.003012,2.059067
Dense,260,53923,94490,0.007252,33800,53413,0.003550,2.042828
Dense,280,62570,109754,0.008546,39200,62040,0.004291,1.991887
Dense,300,71822,125960,0.010003,45000,70820,0.005058,1.977547
